Rank; English; Russian; Turkish
246; to introduce; представлять; tanıtmak
247; to invent; изобретать; icat etmek
248; to invite; приглашать; davet etmek
249; to involve; вовлекать; dahil etmek
250; to judge; судить; yargılamak
251; to jump; прыгать; zıplamak
252; to knock; стучать; vurmak
253; to laugh; смеяться; gülmek
254; to lay (down); класть; koymak
255; to lead; вести; liderlik etmek
256; to learn; учиться; öğrenmek
257; to lend; одалживать; ödünç vermek
258; to lie (not tell truth); лгать; yalan söylemek
259; to lift; поднимать; kaldırmak
260; to link; связывать; bağlamak
261; to list; перечислять; listelemek
262; to lock; запирать; kilitlemek
263; to maintain; поддерживать; sürdürmek
264; to manage; управлять; yönetmek
265; to mark; отмечать; işaretlemek
266; to match; соответствовать; eşleşmek
267; to matter; иметь значение; önemli olmak
268; to measure; измерять; ölçmek
269; to mention; упоминать; bahsetmek
270; to mind; возражать; aldırmak
271; to miss (fail to catch); пропускать; kaçırmak
272; to mix; смешивать; karıştırmak
273; to move (change place); переезжать; taşınmak
274; to name; называть; adlandırmak
275; to notice; замечать; fark etmek
276; to obtain; получать; elde etmek
277; to occur; происходить; meydana gelmek
278; to offer; предлагать; teklif etmek
279; to open; открывать; açmak
280; to order; заказывать; sipariş vermek
281; to organize; организовывать; organize etmek
282; to own; владеть; sahip olmak
283; to pack; упаковывать; paketlemek
284; to paint; красить; boyamak
285; to park; парковать; park etmek
286; to participate; участвовать; katılmak
287; to pass (go by); проходить; geçmek
288; to perform; выступать; performans sergilemek
289; to permit; разрешать; izin vermek
290; to pick (choose); выбирать; seçmek
291; to place; размещать; yerleştirmek
292; to plan; планировать; planlamak
293; to plant; сажать; dikmek
294; to point; указывать; işaret etmek
295; to possess; обладать; sahip olmak
296; to pour; наливать; dökmek
297; to practice; практиковать; pratik yapmak
298; to prefer; предпочитать; tercih etmek
299; to prepare; готовить; hazırlamak
300; to present; представлять; sunmak
