Rank; English; Russian; Turkish
145;handle;справляться;başa çıkmak
146;shake;трясти;sallamak
147;laugh;смеяться;gülmek
148;smile;улыбаться;gülümsemek
149;afford;позволять себе;karşılamak
150;announce;объявлять;duyurmak
151;suffer;страдать;acı çekmek
152;compare;сравнивать;karşılaştırmak
155;encourage;поощрять;teşvik etmek
156;reflect;отражать;yansıtmak
157;connect;соединять;bağlamak
158;contain;содержать;içermek
159;demand;требовать;talep etmek
160;fit;подходить;uymak
161;gain;получать (выгоду);kazanmak
162;perform;выполнять;gerçekleştirmek
163;refer;ссылаться;atıfta bulunmak
164;relate;относиться;ilişkilendirmek
165;rely;полагаться;güvenmek
166;replace;заменять;değiştirmek
167;save (money);экономить;biriktirmek
168;save (rescue);спасать;kurtarmak
169;separate;разделять;ayırmak
170;share;делиться;paylaşmak
171;solve;решать (проблему);çözmek
173;suppose;предполагать;varsaymak
174;survive;выживать;hayatta kalmak
175;tend;иметь склонность;eğiliminde olmak
176;train;тренировать;eğitmek
177;treat;лечить;tedavi etmek
178;treat (behave);обращаться;davranmak
179;warn;предупреждать;uyarmak
180;wish;желать;dilemek
181;wonder;интересоваться;merak etmek
182;arrange;организовывать;düzenlemek
183;assume;предполагать;varsaymak
184;attract;привлекать;çekmek
185;base;основывать;dayandırmak
186;beat;бить;dövmek
187;belong;принадлежать;ait olmak
188;blame;обвинять;suçlamak
189;borrow;брать взаймы;ödünç almak
190;breathe;дышать;nefes almak
191;celebrate;праздновать;kutlamak
192;complain;жаловаться;şikayet etmek
193;confirm;подтверждать;onaylamak
195;consist;состоять;oluşmak
196;contribute;способствовать;katkıda bulunmak
197;convince;убеждать;ikna etmek
198;cope;справляться;başa çıkmak
199;define;определять;tanımlamak
200;delay;задерживать;geciktirmek
201;deliver;доставлять;teslim etmek
202;deny;отрицать;inkar etmek
203;depend (on);зависеть (от);bağlı olmak
204;destroy;разрушать;yok etmek
205;determine;определять;belirlemek
206;disappear;исчезать;kaybolmak
208;divide;делить;bölmek
209;doubt;сомневаться;şüphelenmek
210;dress;одеваться;giyinmek
211;drop;ронять;düşürmek
212;earn;зарабатывать;kazanmak
213;educate;обучать;eğitmek
214;enable;давать возможность;olanak sağlamak
216;engage;вовлекать;meşgul olmak
217;examine;исследовать;incelemek
218;exist;существовать;var olmak
219;expand;расширять;genişletmek
221;experience;испытывать;deneyimlemek
222;explore;исследовать;keşfetmek
223;extend;расширять;uzatmak
224;face;сталкиваться;yüzleşmek
225;fail;терпеть неудачу;başarısız olmak
226;feed;кормить;beslemek
227;fight;бороться;kavga etmek
228;fix;чинить;tamir etmek
229;fly;летать;uçmak
230;force;заставлять;zorlamak
233;hang;вешать;asmak
234;hate;ненавидеть;nefret etmek
235;hide;прятать;saklamak
236;identify;идентифицировать;tanımlamak
237;ignore;игнорировать;görmezden gelmek
239;import;импортировать;ithal etmek
240;improve;улучшать;geliştirmek
242;indicate;указывать;belirtmek
243;influence;влиять;etkilemek
244;inform;информировать;bilgilendirmek
245;intend;намереваться;niyet etmek
246;introduce;представлять;tanıtmak
247;invent;изобретать;icat etmek
248;invite;приглашать;davet etmek
249;involve;вовлекать;dahil etmek
250;judge;судить;yargılamak
251;jump;прыгать;zıplamak
252;knock;стучать;vurmak
255;lead;вести;liderlik etmek
257;lend;одалживать;ödünç vermek
258;lie (not tell truth);лгать;yalan söylemek
259;lift;поднимать;kaldırmak
260;link;связывать;bağlamak
261;list;перечислять;listelemek
262;lock;запирать;kilitlemek
263;maintain;поддерживать;sürdürmek
265;mark;отмечать;işaretlemek
266;match;соответствовать;eşleşmek
267;matter;иметь значение;önemli olmak
268;measure;измерять;ölçmek
270;mind;возражать;aldırmak
271;miss (failcatch);пропускать;kaçırmak
272;mix;смешивать;karıştırmak
273;move (change place);переезжать;taşınmak
274;name;называть;adlandırmak
275;notice;замечать;fark etmek
276;obtain;получать;elde etmek
277;occur;происходить;meydana gelmek
280;order;заказывать;sipariş vermek
281;organize;организовывать;organize etmek
282;own;владеть;sahip olmak
283;pack;упаковывать;paketlemek
284;paint;красить;boyamak
285;park;парковать;park etmek
286;participate;участвовать;katılmak
287;pass (go by);проходить;geçmek
288;perform;выступать;performans sergilemek
289;permit;разрешать;izin vermek
290;pick (choose);выбирать;seçmek
291;place;размещать;yerleştirmek
292;plan;планировать;planlamak
293;plant;сажать;dikmek
294;point;указывать;işaret etmek
295;possess;обладать;sahip olmak
296;pour;наливать;dökmek
297;practice;практиковать;pratik yapmak
300;present;представлять;sunmak
